date,bibref,method_category,sentence
2022,garrettClimateChangeEffects2022,Expert Systems and AI,Climate Change Effects on Pathogen Emergence: Artificial Intelligence to Translate Big Data for Mitigation
2022,gearyRespondingBiodiversityImpacts2022,No specific method identified,Responding to the Biodiversity Impacts of a Megafire: A Case Study from South-Eastern Australia's Black Summer
2022,gegaDigitalInterventionsMental2022,No specific method identified,Digital Interventions in Mental Health: Evidence Syntheses and Economic Modelling
2022,gengEffectsUtilitarianValue2022,No specific method identified,The Effects of Utilitarian Value on~Omnichannel Continuance Intention: The Moderating Role of~Product Involvement
2022,ghafooriInnovativeOptimizationModel2022,Optimization Methods,Innovative Optimization Model for Planning Upgrade and Maintenance Interventions for Buildings
2022,ghalebFuzzybasedContextawareMisbehavior2022,No specific method identified,A Fuzzy-Based Context-Aware Misbehavior Detecting Scheme for Detecting Rogue Nodes in Vehicular Ad Hoc Network
2022,ghimireEvaluationOnedimensionalTwodimensional2022,No specific method identified,Evaluation of One-Dimensional and Two-Dimensional HEC-RAS Models to Predict Flood Travel Time and Inundation Area for Flood Warning System
2022,ghodeLassoingBullwhipEffect2022,No specific method identified,Lassoing the Bullwhip Effect by Applying Blockchain to Supply Chains
2022,ghoroghiAdvancesApplicationMachine2022,Expert Systems and AI,Advances in Application of Machine Learning to Life Cycle Assessment: A Literature Review
2022,gigerenzerSmartHeuristicsIndividuals2022,Behavioral Decision Theory,"Smart Heuristics for Individuals, Teams, and Organizations"
2022,glennieMicrodiscectomyMoreCosteffective2022,No specific method identified,Microdiscectomy Is More Cost-Effective than a 6-Month Nonsurgical Care Regimen for Chronic Radiculopathy
2022,glynnValueInformationDecision2022a,No specific method identified,Value of Information and Decision Pathways: Concepts and Case Studies
2022,glynnValueInformationExploring2022,No specific method identified,Value of Information: Exploring Behavioral and Social Factors
2022,golcukIntervalType2Fuzzy2022,No specific method identified,An Interval Type-2 Fuzzy Axiomatic Design Method: A Case Study for Evaluating Blockchain Deployment Projects in Supply Chain
2022,golinghorstAntiselectionGeneticTesting2022,No specific method identified,Anti-Selection \& Genetic Testing in Insurance: An Interdisciplinary Perspective
2022,goltsosInventoryForecastingMind2022,No specific method identified,Inventory -- Forecasting: Mind the Gap
2022,goncalvesEE129CostEffectivenessOfatumumab2022,No specific method identified,EE129 Cost-Effectiveness of Ofatumumab versus Ocrelizumab in Patients with Active Relapsing Multiple Sclerosis in Portugal
2022,goodwinRealtimeDigitalTwinbased2022,Probabilistic Methods,Real-Time Digital Twin-Based Optimization with Predictive Simulation Learning
2022,goodwinRealtimeDigitalTwinbased2022,Optimization Methods,Real-Time Digital Twin-Based Optimization with Predictive Simulation Learning
2022,gouldFrameworkAssessingImpact2022,No specific method identified,A Framework for Assessing the Impact of Accelerated Approval
2022,groeningImpactFirmCorporate2022,No specific method identified,The Impact of a Firm's Corporate Social Responsibility on Firm--Supplier Relationships: The Effect of Secondary Stakeholder CSR on Inventory Days
2022,grossmanNeuromodulationNeurophysiologyTimescale2022,No specific method identified,Neuromodulation and Neurophysiology on the Timescale of Learning and Decision-Making
2022,gruttersMethodsEarlyAssessment2022,No specific method identified,Methods for Early Assessment of the Societal Value of Health Technologies: A Scoping Review and Proposal for Classification
2022,gudeDemographicUncertaintyDisease2022,No specific method identified,Demographic Uncertainty and Disease Risk Influence Climate-Informed Management of an Alpine Species
2022,guoAutomaticMethodConstructing2022a,No specific method identified,An Automatic Method for Constructing Machining Process Knowledge Base from Knowledge Graph
2022,guoGovernmentSubsidyPolicy2022,No specific method identified,Government Subsidy Policy for Green and Efficient Raw Materials Considering Farmer Heterogeneity
2022,guoMathematicalModelingOptimization2022,Optimization Methods,Mathematical Modeling and Optimization of Platform Service Supply Chains: A Literature Review
2022,guptaDigitalTransformationEntrepreneurial2022,No specific method identified,Digital Transformation in Entrepreneurial Firms through Information Exchange with Operating Environment
2022,haagWhichPredictiveUncertainty2022a,Probabilistic Methods,Value of Information Sensitivity Analysis for Environmental Decision Models
2022,haagWhichPredictiveUncertainty2022a,Bayesian Methods,Our approach helps reduce costs in structured decision-making processes by prioritizing data collection efforts
2022,haagWhichPredictiveUncertainty2022a,Multi-Criteria Decision Analysis,We provide a framework for value of information (VoI) analysis to identify key predictive uncertainties in a decision model
2022,haagWhichPredictiveUncertainty2022a,Utility and Value Theory,We provide a framework for value of information (VoI) analysis to identify key predictive uncertainties in a decision model
2022,haagWhichPredictiveUncertainty2022a,Decision Trees and Networks,We provide a framework for value of information (VoI) analysis to identify key predictive uncertainties in a decision model
2022,habigerInformationAcquisitionStrategic2022,No specific method identified,"Information Acquisition, Strategic Ignorance, and Manufacturer Encroachment"
2022,hallSequentialValueInformation2022a,No specific method identified,Sequential Value of Information for Subsurface Exploration Drilling
2022,hardingValueInformationSolar2022a,No specific method identified,The Value of Information about Solar Geoengineering and the Two-Sided Cost of Bias
2022,hardyMethodsExtrapolatingSurvival2022,No specific method identified,Methods for Extrapolating Survival Analyses for the Economic Evaluation of Advanced Therapy Medicinal Products
2022,harringtonAnimal6tWelfare2022,No specific method identified,"Animal 6t Welfare, Animal Rights, and Conservation Translocations: Moving Forward in the Face of Ethical Dilemmas"
2022,harrisTaskevokedPupillaryResponses2022,No specific method identified,Task-Evoked Pupillary Responses Track Precision-Weighted Prediction Errors and Learning Rate during Interceptive Visuomotor Actions
2022,hautala-kankaanpaaImpactDigitalizationFirm2022,No specific method identified,The Impact of Digitalization on Firm Performance: Examining the Role of~Digital Culture and the Effect of~Supply Chain Capability
2022,hayesTradeoffsForestDisturbance2022,No specific method identified,Trade-Offs in Forest Disturbance Management for Plant Communities and Ungulates
2022,healyLifeDeathDynamic2022,No specific method identified,"Life and Death in a Dynamic Environment: Invasive Trout, Floods, and Intraspecific Drivers of Translocated Populations"
2022,heathSimulatingStudyData2022a,No specific method identified,Simulating Study Data to Support Expected Value of Sample Information Calculations: A Tutorial
2022,heDeepReinforcementLearning2022,Optimization Methods,Deep Reinforcement Learning for Generalizable Field Development Optimization
2022,hemmingIntroductionDecisionScience2022a,No specific method identified,An Introduction to Decision Science for Conservation
2022,hemmingWhatGoodCalibration2022,No specific method identified,What Is a Good Calibration Question?
2022,hessheimerPostTransplantHepatocellularCarcinoma2022,No specific method identified,Post-Transplant Hepatocellular Carcinoma Surveillance: A Cost-Effectiveness and Cost-Utility Analysis
2022,heStateResearchDisaster2022,No specific method identified,State of the Research on Disaster Risk Management of Interdependent Infrastructure Systems for Community Resilience Planning
2022,hlongwanePracticalFrameworkValue2022,No specific method identified,A Practical Framework for Value Creation in Health Information Systems from an Ecosystem Perspective: Evaluated in the South African Context
2022,hmidahRoleInterfaceInterface2022,Optimization Methods,The Role of the Interface and Interface Management in the Optimization of BIM Multi-Model Applications: A Review
2022,hofmansSocialLearningAdolescence2022,Bayesian Methods,Social Learning across Adolescence: A Bayesian Neurocognitive Perspective
2022,holmesMachineLearningEnhancedPlay2022,Expert Systems and AI,Machine Learning-Enhanced Play Fairway Analysis for Uncertainty Characterization and Decision Support in Geothermal Exploration
2022,honghongRiskAssessmentFramework2022,No specific method identified,Risk Assessment Framework for Low-Altitude UAV Traffic Management
2022,hsiehCriticalFactorsAffecting2022,No specific method identified,Critical Factors Affecting Performance of Logistics Operation Planning Considering Interdependency: A Case Study in Automotive Aftermarket
2022,huangAnalysisEffectActive2022,No specific method identified,An Analysis of the Effect of Active Executive Departures on the Debt Financing Costs
2022,huangAvailabilityReliabilityInformation2022,No specific method identified,Availability and Reliability of Information Transmission for Supply Chain Coordination with Demand Information Sharing
2022,huangDecisionSupportSystem2022,Expert Systems and AI,A Decision Support System for Available Parking Slots on the Roadsides in Urban Areas
2022,huangHighSchoolStudents2022,No specific method identified,High School Students' Trust and Risk Perception of Typhoon Disaster: Moderating Role of Government Ability in Disaster Management
2022,huangNewMethodEmergency2022,Robust Decision Making,New Method for Emergency Decision Making with an Integrated Regret Theory-EDAS Method in 2-Tuple Spherical Linguistic Environment
2022,hughesRiskbasedActiveLearning2022,No specific method identified,On Risk-Based Active Learning for Structural Health Monitoring
2022,hughesRobustRiskbasedActivelearning2022,No specific method identified,On Robust Risk-Based Active-Learning Algorithms for Enhanced Decision Support
2022,huInformationSharingOnline2022,No specific method identified,Information Sharing in an Online Game Supply Chain
